text,labels
"Rainwater harvesting (RWH) is a practice of growing importance in the United Kingdom, particularly in the southeast of England where the water availability per person is even less than in many Mediterranean countries. Although there is a huge amount of rainfall in the north and west of England and Wales, water resources in the southeast and east of England are under pressure due to the growing population and the changing climate. Therefore, RWH becomes particularly important to reduce the dependence on the mains water supply. In the present study, suitable areas for RWH in the UK have been identified using a geographic information system-based decision support system (DSS) and remote sensing. The DSS undertakes a combination of thematic layers such as rainfall surplus, slope, curve number, land cover/use, and soil texture. The spatial extents of suitability areas for RWH were identified using multi-criteria evaluation. The spatial distribution of the suitability map shows that the excellent suitable areas for RWH are in the northwest of UK but less suitable areas in the northern and eastern parts. On average, the suitability for RWH in the UK was found that 18.95 and 27.25 % of the area are excellent and good, about 23.53 % is moderate, whilst 30.26 and 0.02 % are unsuitable and poor, respectively. The use of a number of RWH sites in the excellent areas is recommended to ensure successful implementation of RWH systems.
",21
"The reproducibility of experiments is one of the main principles of the scientific method. However, numerical N-body experiments, especially those of planetary systems, are currently not reproducible. In themost optimistic scenario, they can only be replicated in an approximate or statistical sense. Even if authors share their full source code and initial conditions, differences in compilers, libraries, operating systems or hardware often lead to qualitatively different results. We provide a new set of easy-to-use, open-source tools that address the above issues, allowing for exact (bit-by-bit) reproducibility of N-body experiments. In addition to generating completely reproducible integrations, we show that our framework also offers novel and innovative ways to analyse these simulations. As an example, we present a high-accuracy integration of the Solar system spanning 10 Gyr, requiring several weeks to run on a modern CPU. In our framework, we can not only easily access simulation data at predefined intervals for which we save snapshots, but at any time during the integration. We achieve this by integrating an on-demand reconstructed simulation forward in time from the nearest snapshot. This allows us to extract arbitrary quantities at any point in the saved simulation exactly (bit-by-bit), and within seconds rather than weeks. We believe that the tools we present in this paper offer a new paradigm for how N-body simulations are run, analysed and shared across the community.
",4
"Advances in forensic identification using molecular genetics are helpful in resolving some historical mysteries. The aim of this study was to confirm the authenticity of shrunken-head artifacts exhibited by two Polish museums. Shrunken heads, known as tsantsas, were headhunting trophies of South American Indians (Jivaroan). A special preparation preserved their hair and facial appearance. However, it was quite common to offer counterfeit shrunken heads of sloths or monkeys to collectors of curiosities. We sampled small skin specimens of four shrunken-head skin from the museum collection from Warsaw and Krakow, Poland. Following genomic DNA isolation, highly polymorphic short tandem repeats were genotyped using a commercial chemistry and DNA sequencing analyzer. Haplogroups of human Y chromosome were identified. We obtained an informative genetic profile of genomic short tandem repeats from all the samples of shrunken heads. Moreover, amplification of amelogenin loci allowed for sex determination. All four studied shrunken heads were of human origin. In two ones, a shared Y-chromosome haplogroup Q characteristic for Indigenous Americans was detected. Another artifact was counterfeited because Y-chromosome haplogroup I2 was found, characteristic for the Southeastern European origin. Commercial genetic methods of identification can be applied successfully in studies on the origin and authenticity of some unusual collection items.
",32
"M-Commerce applications in the world have grown exponentially over the years. It had set up for mobile users to engage wirelessly of ad hoc network infrastructure in online business irrespective of place or time. Providing anonymous, secure and trust based connection service in ad hoc network is quite a challenging task. Anonymity, security and privacy of the transaction or message transmission are the highest priority need to be delivered to the destination node on time. In this paper, a CAEC(2) M (Cellular Automata Elliptic Curve Cryptography Mix network) algorithm to secure Mobile Commerce over ad hoc network is proposed. An attempt is made to design a mix-network (Mix-Net) using elliptic curve cryptography based on cellular automata which creates a hard to trace communication to protect the anonymity of the sender and encrypt the sensitive information to avoid any eavesdropper trying to access the data during transmission. CAEC 2 M provides also confidentiality, integrity and authentication.
",3
"In this paper, we present an overview of the entropy production in fluid dynamics in a systematic way. First of all, we clarify a rigorous derivation of the incompressible limit for the Navier-Stokes-Fourier system of equations based on the asymptotic analysis, which is a very well known mathematical technique used to derive macroscopic limits of kinetic equations (Chapman-Enskog expansion and Hilbert expansion are popular methodologies). This allows to overcome the theoretical limits of assuming that the material derivative of the density simply vanishes. Moreover, we show that the fundamental Gibbs relation in classical thermodynamics can be applied to non-equilibrium flows for generalizing the entropy and for expressing the second law of thermodynamics in case of both incompressible and compressible flows. This is consistent with the thermodynamics of irreversible processes and it is an essential condition for the design and optimization of fluid flow devices. Summarizing a theoretical framework valid at different regimes (both incompressible and compressible) sheds light on entropy production in fluid mechanics, with broad implications in applied mechanics.
",17
"Aim To investigate whether morphological variation in a continental radiation of lizards (Chamaeleonidae) was driven by ecological opportunity. Location KwaZulu-Natal, South Africa. Methods Chameleons from all morphotypes were genotyped (n=279) using 10 microsatellite and one mitochondrial marker (n=130). Genetic spatial structure was examined in a Bayesian framework and compared to ecomorphological forms, to identify distinct chameleon groups using a total evidence approach. Ecological niche modelling projected back to the Last Glacial Maximum and the Last Interglacial was used to make inferences regarding the processes that may have facilitated diversification through ecological opportunity. Results For the three inland groups, genetic and morphological evidence were in agreement suggesting these are candidate species. However, there was discordance in evidence for populations from coastal regions, although the different time-scales of the data allow us to make some inferences regarding this disparity. The microsatellite data suggest at least three independent origins of coastal chameleons, although all three clusters show the same ecomorph, which indicates convergence of phenotype in a similar environment. The species distribution models revealed high niche stability among inland groups, suggesting the presence of refugia for these chameleons; whereas the coastal niche is more dynamic and likely resulted in recent origins of these groups. Main Conclusions A dynamic climatic niche and corresponding vegetation shifts are likely to have shaped contrasting ecomorphological and genetic patterns within this continental radiation by creating ecological opportunity for the coastal chamleons. In contrast, inland groups are in climatically stable regions, and show concordance between lines of evidence, suggesting that niche stability has allowed for these chameleons to diverge genetically and phenotypically.
",32
"Food quality and safety have been a significant and pressing issue in recent years. In light of the FAO's definition of food security the physical, social and economic access to sufficient and nutritious food - food safety plays a fundamental role. Animal feed and feeding is pivotal to the livestock industry, but the use of veterinary antibiotics (VAs) and synthetic growth promoters (SGP) diminishes the sustainability of the diets and. can cause an accumulation of residues in animals (meat, milk and eggs) and the environment (water and soil pollution). Wastewater systems are another major pathway through which antibiotics and hormones can enter the environment, with negative consequences. In order to protect the planet through more sustainable feeding, the reduction of antibiotics and synthetic growth promoters is a key aim, in particular with the goal of reducing antibiotic resistance and allergies. Analytical methods play a crucial role in food analysis, to determine the presence of antibiotics and other additives. Recent methods are based on liquid chromatography with ultraviolet, fluorescence, or mass spectrophotometry detection, which is recognized as an essential technique in food analysis, able to identify more than 300 compounds in feed samples. In general, a monitoring program put in place to educate the population on the hazards of residues in animal products is necessary, in conjunction with a continuous decrease in the use of antibiotics and synthetic growth promoters in animal diets. (C) 2016 Elsevier Ltd. All rights reserved.
",24
"Mercury-discharge lamp technology is the basis for fluorescent lighting and UV lamps for water purification. We showed that by modifying the ratios of the seven stable isotopes of mercury from their natural relative abundances, lamp efficiencies can be improved by over 20%. In parallel, recent methods of isotope separation can make the cost of the optimized isotopic mixtures economically competitive. We review these recent developments and discuss implications for future lighting and UV lamp technologies.
",22
"The impact of intercultural workplace relationships on local employees has been scarcely investigated in hospitality. This paper adopts the contact hypothesis perspective in order to explore the ways in which intercultural encounters between foreign and local hospitality employees influence the latter, in sociocultural and organizational terms. A conceptual model is developed, tested within the Cypriot hospitality industry, and analyzed using structural equation modeling. Findings support the contact hypothesis, in that prior attitudes towards the ethnically different other influence the development of intercultural workplace relationships, which in turn influence local employees' wider attitudes towards foreigners. Furthermore, the importance of fair treatment and respect at work are stressed, as they mediate the relationship between intercultural workplace relationships and affective commitment. Implications for hospitality organizations are derived and suggestions are provided.(C) 2016 Elsevier Ltd. All rights reserved.
",8
"As family structures diversify, attitudes towards nontraditional families (e.g., same-sex-parent and cross-race families) appear to be becoming more favorable. Despite more favorable attitudes, we propose that explicitly and implicitly people view nontraditional families as less family-like than traditional (i.e., heterosexual, same-race) families. We also propose that people will hold the behavior of nontraditional (vs. traditional) families to higher standards. In Study 1, participants explicitly rated nontraditional (vs. traditional) family photos as less family-like and as less loving. In Study 2, using a reaction-time measure, participants took longer to correctly categorize nontraditional (vs. traditional) families into the family category, suggesting that at an implicit level people have greater difficulty recognizing nontraditional families as family. In Studies 3 and 4, ambiguous (i.e., positive and negative) behavior licensed more harsh evaluations of a nontraditional familybut did not affect evaluations of a traditional familyrelative to learning only positive family behavior. Despite survey data that suggest that people's views of nontraditional families are becoming more favorable, our evidence indicates that people nonetheless harbor prejudice against certain family structures. Beyond documenting two biases against nontraditional families, this work highlights the need for prejudice researchers to examine meaningful levels of social identity, such as family units, that are intermediate between individuals and broad social classes.
",8
"This study presents control algorithms for a new unified power quality conditioner (UPQC) without the series transformers that are frequently used to make the insertion of the series converter of the UPQC between the power supply and the load. The behaviour of the proposed UPQC is evaluated in presence of voltage imbalances, as well as under non-sinusoidal voltage-and current conditions. The presented algorithms derive from the concepts involving the active and non-active currents, together with a phase-locked-loop circuit. Based on these real-time algorithms, and considering the proposed hardware topology, the UPQC is able to compensate the harmonic components of the voltages and currents, correct the power factor, and keep the load voltages regulated, all of this in a dynamic way, responding instantaneously to changes in the loads or in the electrical power system. The control algorithms were distributed in a two-DSP digital control architecture, without any communication between them. Consequently, can be increased the sampling frequency of the acquired voltages and currents and improve the UPQC performance. Furthermore, some constraints of the proposed UPQC are evidenced, particularly when the main voltages are imbalanced. Simulation and experimental results are presented to verify the UPQC performance under transient and steady state conditions.
",7
"For the characteristic of compact structure, low inertia, high rigidness and accuracy, parallel mechanisms are worthwhile to be popularized in the field of agricultural robotization, especially in situations that require precise movement in limited space. Focusing on the harvesting task of strawberries in ridge culture, a 4-PPPR robot manipulator with three translational DOF and one rotational DOF is devised in this paper. A type synthesis method of G(F) set theory is used to design its topology structure in 3D space. Compared to traditional machine design methods, this synthesis method allow one to decide the manipulator's configuration in a Topdown logic initially from the appointed features of the manipulator's moving platform. A software simulation is carried out to demonstrate this mechanism can meet all the movement requirements by driving the four active joints allocated on the fixed platform.
",16
"This paper presents an up-to-date magnetic material investigation and overview on magnetic materials used in rotating electrical machines. The focus is on small to medium-sized high-performance and high-efficiency permanent-magnet and induction motors for different application scenarios. The investigated materials include silicon-iron, nickel-iron, and cobaltiron lamination steels, as well as soft magnetic composites and amorphous magnetic materials. The technical focus is on the magnetic properties and iron losses as well as the manufacturing influence and required thermal treatments during the manufacturing process. A new loss to flux density factor is introduced to compare the BH magnetization curve and the iron losses of different materials in the same diagram. The aim of the paper is to give the machine designer an efficient material overview and selection guide during the early machine design process. Index Terms-AC machines, amorphous magnetic materials,
",16
"We present a frame-invariant method for detecting coherent structures from Lagrangian flow trajectories that can he sparse in number, as is the case in many fluid mechanics applications of practical interest. 'The method, based on principles used in graph colouring and spectral graph drawing algorithms, examines a measure of the kinematic dissimilarity of all pairs of fluid trajectories, measured either experimentally, e.g. using particle tracking velocimetry, or numerically, by advecting fluid particles in the Eulerian velocity field. Coherence is assigned to groups of particles whose kinematics remain similar throughout the time interval for which trajectory data are available, regardless of their physical proximity to one another. Through the use of several analytical and experimental validation cases, this algorithm is shown to robustly detect coherent structures using significantly less flow data than are required by existing spectral graph theory methods.
",17
"Tuberculosis (TB) remains among the most deadly diseases in the world. The only available vaccine against tuberculosis is the bacille Calmette-Guerin (BCG) vaccine, which does not ensure full protection in adults. There is a global urgency for the development of an effective vaccine for preventing disease transmission, and it requires novel approaches. We are exploring the use of lactic acid bacteria (LAB) as a vector for antigen delivery to mucosal sites. Here, we demonstrate the successful expression and surface display of a Mycobacterium tuberculosis fusion antigen (comprising Ag85B and ESAT-6, referred to as AgE6) on Lactobacillus plantarum. The AgE6 fusion antigen was targeted to the bacterial surface using two different anchors, a lipoprotein anchor directing the protein to the cell membrane and a covalent cell wall anchor. AgE6-producing L. plantarum strains using each of the two anchors induced antigen-specific proliferative responses in lymphocytes purified from TB-positive donors. Similarly, both strains induced immune responses in mice after nasal or oral immunization. The impact of the anchoring strategies was reflected in dissimilarities in the immune responses generated by the two L. plantarum strains in vivo. The present study comprises an initial step toward the development of L. plantarum as a vector for M. tuberculosis antigen delivery. IMPORTANCE This work presents the development of Lactobacillus plantarum as a candidate mucosal vaccine against tuberculosis. Tuberculosis remains one of the top infectious diseases worldwide, and the only available vaccine, bacille Calmette-Guerin (BCG), fails to protect adults and adolescents. Direct antigen delivery to mucosal sites is a promising strategy in tuberculosis vaccine development, and lactic acid bacteria potentially provide easy, safe, and low-cost delivery vehicles for mucosal immunization. We have engineered L. plantarum strains to produce a Mycobacterium tuberculosis fusion antigen and to anchor this antigen to the bacterial cell wall or to the cell membrane. The recombinant strains elicited proliferative antigenspecific T-cell responses in white blood cells from tuberculosis-positive humans and induced specific immune responses after nasal and oral administrations in mice.
",31
"Inter-basin water transfer projects might cause complex hydro-chemical and biological variation in the receiving aquatic ecosystems. Whether machine learning models can be used to predict changes in phytoplankton community composition caused by water transfer projects have rarely been studied. In the present study, we used machine learning models to predict the total algal cell densities and changes in phytoplankton community composition in Miyun reservoir caused by the middle route of the South to-North Water Transfer Project (SNWTP). The model performances of four machine learning models, including regression trees (RT), random forest (RF), support vector machine (SVM), and artificial neural network (ANN) were evaluated and the best model was selected for further prediction. The results showed that the predictive accuracies (Pearson's correlation coefficient) of the models were RF (0.974), ANN (0.951), SVM (0.860), and RT (0.817) in the training step and RF (0.806), ANN (0.734), SVM (0.730), and RT (0.692) in the testing step. Therefore, the RF model was the best method for estimating total algal cell densities. Furthermore, the predicted accuracies of the RF model for dominant phytoplankton phyla (Cyanophyta, Chlorophyta, and Bacillariophyta) in Miyun reservoir ranged from 0.824 to 0.869 in the testing step. The predicted proportions with water transfer of the different phytoplankton phyla ranged from -8.88% to 9.93%, and the predicted dominant phyla with water transfer in each season remained unchanged compared to the phytoplankton succession without water transfer. The results of the present study provide a useful tool for predicting the changes in phytoplankton community caused by water transfer. The method is transferrable to other locations via establishment of models with relevant data to a particular area. Our findings help better understanding the possible changes in aquatic ecosystems influenced by inter-basin water transfer. (C) 2017 Elsevier Ltd. All rights reserved.
",1
"This pilot study investigated the feasibility and preliminary efficacy of an Internet Support Group (ISG) for parents of children with NF1. Eligible parents were recruited by email and completed baseline questionnaires assessing social support, self-efficacy, depression, and anxiety. The ISG involved eight weekly 90-min chat sessions and a discussion forum open 24 h/day for 8 weeks. Follow-up measures were completed immediately post-intervention and 3 months later. Parents from 33 families (29 mothers, 4 fathers) completed baseline measures. Over half of parents (52 %) rated their child's disease severity as mild, 33 % moderate, and 15 % severe. Among 21 parents who completed post-intervention measures, ratings of perceived emotional (p = .0008) and informational (p = .0003) support increased. There were no significant changes in self-efficacy, depression, or anxiety (ps >.05). The mean satisfaction rating was moderately high (7.6/10; range 4-10). Some parents commented that the chat sessions were at inconvenient times, which may have limited participation. Preliminary evidence in this small sample of parents suggests that ISGs may be a feasible and potentially efficacious method of providing support to parents of children with NF1. Having multiple weekly chat sessions held at various days and times may improve accessibility and participation. Clinicians are encouraged to help parents access online support resources.
",27
"The rise and fall of artificial neural networks is well documented in the scientific literature of both computer science and computational chemistry. Yet almost two decades later, we are now seeing a resurgence of interest in deep learning, a machine learning algorithm based on multilayer neural networks. Within the last few years, we have seen the transformative impact of deep learning in many domains, particularly in speech recognition and computer vision, to the extent that the majority of expert practitioners in those field are now regularly eschewing prior established models in favor of deep learning models. In this review, we provide an introductory overview into the theory of deep neural networks and their unique properties that distinguish them from traditional machine learning algorithms used in cheminformatics. By providing an overview of the variety of emerging applications of deep neural networks, we highlight its ubiquity and broad applicability to a wide range of challenges in the field, including quantitative structure activity relationship, virtual screening, protein structure prediction, quantum chemistry, materials design, and property prediction. In reviewing the performance of deep neural networks, we observed a consistent outperformance against non-neural networks state-of-the-art models across disparate research topics, and deep neural network-based models often exceeded the glass ceiling expectations of their respective tasks. Coupled with the maturity of GPU-accelerated computing for training deep neural networks and the exponential growth of chemical data on which to train these networks on, we anticipate that deep learning algorithms will be a valuable tool for computational chemistry. (c) 2017 Wiley Periodicals, Inc.
",0
"Lean design is a product design philosophy that aims to drive down resource waste on the factory floor using efficient design. Munro [i] provides data to show that Lean design has the greatest impact on the efficient workings of a manufacturing operation. Lean design influences floor-space, labor, raw material, quality, and ultimately profits for a manufacturing company. In this paper, how companies can pursue Lean design utilizing geometric dimensioning and tolerancing (GD&T) through target manufacturing and zero tolerancing at the maximum material virtual condition (MMVC) are shown. Although these concepts are available in different places within GD&T and quality texts, the connection eludes some educators and most students. Further, how these concepts can be utilized by manufacturing companies as strategic tools to better communicate between product-design and manufacturing personnel is presented. Why it is important to include the concepts of Lean design in product design and manufacturing engineering curriculum is also explained.
",15
"The mesochronic velocity is the average of the velocity field along trajectories generated by the same velocity field over a time interval of finite duration. In this paper we classify initial conditions of trajectories evolving in incompressible vector fields according to the character of motion of material around the trajectory. In particular, we provide calculations that can be used to determine the number of expanding directions and the presence of rotation from the characteristic polynomial of the Jacobian matrix of mesochronic velocity. In doing so, we show that (a) the mesochronic velocity can be used to characterize dynamical deformation of three-dimensional volumes, (b) the resulting mesochronic analysis is a finite-time extension of the Okubo-Weiss-Chong analysis of incompressible velocity fields, (c) the two-dimensional mesochronic analysis from Mezic et al. A New Mixing Diagnostic and Gulf Oil Spill Movement, Science 330, (2010), 486-489, extends to three-dimensional state spaces. Theoretical considerations are further supported by numerical computations performed for a dynamical system arising in fluid mechanics, the unsteady Arnold{Beltrami{Childress (ABC) flow.
",17
"Advanced modern processors support single instruction, multiple data instructions (e.g., Intel-AVX and ARM-NEON) and a massive body of research on vector-parallel implementations of modular arithmetic, which are crucial components for modern public-key cryptography ranging from Rivest, Shamir, and Adleman (RSA), ElGamal, Digital Signature Algorithm (DSA), and elliptic curve cryptography, have been conducted. In this paper, we introduce a novel double operand scanning method to speed up multi-precision squaring with non-redundant representations on single instruction, multiple data architecture where the part of the operands are doubled to compute the squaring operation without read-after-write dependencies between source and destination variables. Afterwards, Karatsuba algorithm is applied to both multiplication and squaring operations. For modular multiplication, separated Montgomery algorithm is chosen. Finally, the Rivest, Shamir, and Adleman (RSA) implementations outperform the best-known results on the ARM-NEON platforms. Copyright (C) 2017 John Wiley & Sons, Ltd.
",3
"Experimental self-driving cars are being tested on public roads, and will at some point be commercially sold or made otherwise available to the public. A self-driving car and its digital control systems take over control tasks previously performed by the human driver. This places high demands on this control system which has to perform the highly complex task of driving the car through traffic. When this system does not perform its task adequately and damage ensues the failure of the control system may be used as a stepping stone to claim liability of the manufacturer of the car or the control system. Uncertainties about the application of (product) liability law may slow down the uptake of self-driving cars more than is warranted on the basis of technical progress. This article examines how the decision about the timing of a market introduction can be approached and how possible chilling effects of liability law can be redressed with an adequate system of obligatory insurance. (C) 2015 Maurice Schellekens. Published by Elsevier Ltd. All rights reserved.
",7
