text,labels
"Many epidemical and biological studies have proposed that human papillomavirus (HPV), primarily high-risk HPV16/18, is an etiological factor for a subset of head and neck (HN) cancers. On that premise, we systematically reviewed relevant articles and improved the understanding of HPV-related cancers. This article comprehensively described the characteristics of HPV-associated HN tumors according to demography, histopathology, molecular biology, and prognosis. Meta-analyses were conducted to combine the studies that reported the association between HPV status and these variables using Rev Man 5.0. The pooled results showed that HPV-positive tumors were not only poorly differentiated (OR = 2.77, 95% CI: 2.3-3.32) and smaller (OR = 2.21, 95% CI: 1.75-2.8) but were also strongly associated with oropharynx (OR = 5.8, 95% CI: 4.01-8.38) and node involvement (OR = 2.77, 95% CI: 2.3-3.32). HPV-related tumors showed significantly more p16 overexpression (OR = 34.55, 95% CI: 20.91-57.09) and less TP53 mutations (OR = 0.27, 95% CI: 0.18-0.41) than HPV-negative tumors. The patients with HPV-positive cancers had different clinical behaviors, such as a reduced risks of death (HR = 0.32, 95% CI: 0.29-0.36). This study supported the view point that HPV is a favorable indicator of prognosis and that HPV-related HN tumors are distinct from traditional tumors. This etiological relationship could impact future strategies of diagnosis, prevention, therapy, and prognosis for this subset of patients. (C) 2016 Wiley Periodicals, Inc.
",7
"MicroRNAs (miRNAs) are small non-coding RNAs involved in fine-tuning of gene regulation. Antisense oligonucleotides (ONs) are promising tools as anti-miRNA (anti-miR) agents toward therapeutic applications and to uncover miRNA function. Such anti-miR ONs include 2'-O-methyl (OMe), cationic peptide nucleic acids like K-PNA-K3, and locked nucleic acid (LNA)-based anti-miRs such as LNA/DNA or LNA/OMe. Northern blotting is a widely used and robust technique to detect miRNAs. However, miRNA quantification in the presence of anti-miR ONs has proved to be challenging, due to detection artifacts, which has led to poor understanding of miRNA fate upon anti-miR binding. Here we show that anti-miR ON bound to miR-122 can prevent the miRNA from being properly precipitated into the purified RNA fraction using the standard RNA extraction protocol (TRI-Reagent), yielding an RNA extract that does not reflect the real cellular levels of the miRNA. An increase in the numbers of equivalents of isopropanol during the precipitation step leads to full recovery of the targeted miRNA back into the purified RNA extract. Following our improved protocol, we demonstrate by Northern blotting, in conjunction with a PNA decoy strategy and use of high denaturing PAGE, that high-affinity anti-miRs (K-PNA-K3, LNA/DNA, and LNA/OMe) sequester miR-122 without causing miRNA degradation, while miR-122 targeting with a lower-affinity anti-miR (OMe) seems to promote degradation of the miRNA. The technical issues explored in this work will have relevance for other hybridization-based techniques for miRNA quantification in the presence of anti-miR ONs.
",10
"This paper investigates the impact of stock market developments on oil and electricity demand of OECD member countries. We conduct different panel data methodologies and use annual data ranging from 1996 to 2011. The overall findings substantiate that income, real prices, size of the stock market and liquidity are important determinants for both oil and electricity demand. We also compute long-run elasticity coefficients by using a simple Partial Adjustment Model (PAM) and find that the long run elasticity coefficients are larger than the short run parameters. Moreover, our results show that the demand for oil and electricity is inelastic with respect to both own real price and real income over the short-run and the long-run. From a policy making perspective, the findings suggest that potential policy tools to reduce energy consumption may not be useful as the demand for energy is inelastic with respect to energy prices. Our results also manifest that although stock market deepening variables do not have a large effect on energy use as energy price and economic growth have, market size and liquidity significantly affect energy consumption. Therefore, energy demand estimations based on solely energy price and income may be inaccurate when some stock market development indicators are excluded. The empirical findings of this paper provide further insights for policy makers, energy companies and energy economists in terms of demand management policies and pricing decisions.
",0
"Human brain asymmetries have been well described. Intriguingly, a number of asymmetries in brain phenotypes have been shown to change throughout the lifespan. Recent studies have revealed topological asymmetries between hemispheric white matter networks in the human brain. However, it remains unknown whether and how these topological asymmetries evolve from adolescence to young adulthood, a critical period that constitutes the second peak of human brain and cognitive development. To address this question, the present study included a large cohort of healthy adolescents and young adults. Diffusion and structural magnetic resonance imaging were acquired to construct hemispheric white matter networks, and graph-theory was applied to quantify topological parameters of the hemispheric networks. In both adolescents and young adults, rightward asymmetry in both global and local network efficiencies was consistently observed between the 2 hemispheres, but the degree of the asymmetry was significantly decreased in young adults. At the nodal level, the young adults exhibited less rightward asymmetry of nodal efficiency mainly around the parasylvian area, posterior tempo-parietal cortex, and fusiform gyrus. These developmental patterns of network asymmetry provide novel insight into the human brain structural development from adolescence to young adulthood and also likely relate to the maturation of language and social cognition that takes place during this period.
",3
"No specific pathognomonic tissue changes establish death from water intoxication, which makes a postmortem diagnosis of water intoxication difficult. We report an autopsy case of fatal water intoxication in which the postmortem computed tomography (PMCT) examination showed findings suggestive of antemortem excessive water drinking, such as diluted intestinal contents and hemodilution. A 52-year-old man who had schizophrenia was found dead in his house. He frequently complained of polydipsia, and drank a large amount of water and vomited before his death. PMCT findings showed distention of the duodenum with low radiodensity content (7 HU). In addition, the right atrium showed a low radiodensity content (46 HU). Autopsy results showed moderate congestion in all the organs, a large amount of light-brownish liquid in the duodenum and upper jejunum, and aspiration pneumonia. Electrolyte concentrations of sodium in the vitreous humor of the right and left eyes were 105 and 107 mEq/L, respectively, and neither drugs nor alcohol was detected in the blood. On the basis of the autopsy and biochemical findings, we determined water intoxication as the cause of death. An evaluation of PMCT findings of cases of various causes of death indicated that the radiodensities of the right atrium and duodenal content in our case were lower than those of the cases of various causes of death, except for fresh water drowning. The present case showed that PMCT provides supplementary findings regarding antemortem excessive water drinking. In addition, PMCT may provide findings to consider death from water intoxication before autopsy.
",4
"Rearing in darkness slows the time course of the visual cortical critical period, such that at 5 weeks of age normal cats are more plastic than dark-reared cats, while at 20 weeks dark-reared cats are more plastic [Mower GD (1991) The effect of dark rearing on the time course of the critical period in cat visual cortex. Dev Brain Res 58:151-158]. Thus, genes that are important for visual cortical plasticity should show differences in expression between normal and darkreared visual cortex that are of opposite direction in young versus older animals. Previously, we showed by differential display polymerase chain reaction and northern blotting that mRNA for Munc13-3, a mammalian homologue of the C. elegans uncoordinated (unc) gene, shows such bidirectional regulation in cat visual cortex [Yang CB, Zheng YT, Li GY, Mower GD (2002) Identification of Munc13-3 as a candidate gene for critical period neuroplasticity in visual cortex. J Neurosci 22:8614-8618]. Here, the analysis is extended to Munc13-3protein in mouse visual cortex, which will provide the basis for gene manipulation analysis. In mice, Munc13-3 protein was elevated 2.3-fold in dark-reared compared with normal visual cortex at 3.5 weeks and 2.0-fold in normal compared with dark-reared visual cortex at 9.5 weeks. Analysis of variance of protein levels showed a significant interaction, indicating that the effect of dark rearing depended on age. This bidirectional regulation was restricted to visual cortex and did not occur in frontal cortex. Bidirectional regulation was also specific to Munc13-3 and was not found for other Munc13 family members. Munc13 proteins serve a central priming function in synaptic vesicle exocytosis at glutamatergic and GABAergic synapses and this work contributes to the growing evidence indicating a role of Munc13 genes in synaptic plasticity. (c) 2007 IBRO. Published by Elsevier Ltd. All rights reserved.
",10
"The objective of this study was to assess the sensitivity of the Omni Klentaq-LA DNA polymerase for detecting Aleutian mink disease virus (AMDV) in mink blood and tissues by PCR without DNA extraction. The presence of AMDV DNA was directly tested by Klentaq in the plasma, serum, whole blood, and spleen homogenates of 188 mink 4 and 16 months after inoculation with the virus. Samples from bone marrow, small intestine, liver, lungs, kidneys, and lymph nodes of 20 of the same mink were also tested by Klentaq. DNA was extracted from paired samples of plasma and the aforesaid tissues by a commercial nucleic acid extraction kit (Dynabeads Silane) and tested by PCR. Compared with the extracted DNA, Klentaq detected a significantly greater number of samples in the whole blood, serum, plasma, spleen, and small intestine. It was concluded that Klentaq is a preferred system for directly detecting AMDV DNA in mink blood and tissues. The lower success rate of extracted DNA compared with Klentaq could be the result of DNA losses during the extraction process. This is an important factor in chronically infected mink, which have a low AMDV copy number in the bloodstream. Direct AMDV detection also reduces the cost of PCR amplification and lowers the risk of sample contamination.
",9
"The aims were to evaluate the levels of bacterial species in saliva and in situ and to assess whether the design of brackets influences the risk of developing periodontal disease. Twenty patients (13.3 mean age) were bonded with self-ligating brackets and a conventional bracket. Saliva was collected before bonding and 30 and 60 days after bonding. One sample of each bracket was removed 30 and 60 days after bonding. The analysis was determined by checkerboard DNA-DNA hybridization. The data was evaluated by the non-parametric test. A significant increase in the levels of bacterial species in the saliva occurred in 15 of the 22 analyzed species. The self-ligating brackets presented the highest incidence percentages for the orange and red complexes 60 days after bonding. In situ analyses showed different patterns according to the bracket design. The levels of Campylobacter rectus showed significant differences (p = 0.011) 60 days after bonding among the three brackets; the highest values were observed in the In-OvationA (R) R bracket. The bracket design seems to influence the levels of bacterial species involved in periodontal disease. Considering the wide variety of bacterial species, additional studies are needed to aid in the establishment of effective protocols to prevent the development of periodontal disease during orthodontic treatment. A dynamic alteration in the oral microbiota may lead to inflammatory reactions in the supporting soft and hard tissues. The different types of brackets interfere with bacterial adherence. Bracket design should be considered in orthodontic treatment.
",7
"One of the possible research lines for improving the Concentrated Solar Power (CSP) technology is the enhancement of the thermophysical properties of the Heat Transfer Fluids (HTF) used. This enhancement leads to reduce costs for producing electricity using this technology. So, this study presents the preparation of nanofluids in which Ag nanoparticles were added to a base fluid composed of a eutectic mixture of diphenyl oxide and biphenyl. The base fluid is a heat transfer fluid commonly used in concentrating solar power plants. The nanofluids were shown to have improved thermal properties, the heat transfer coefficient increasing by up to 6% compared with the base fluid. Thus, their use could lead to enhancements in the overall efficiency of CSP plants. Accordingly, nanofluids were prepared with varying nanoparticle concentrations and their properties were characterized, including their physical and chemical stability, viscosity, isobaric specific heat and thermal conductivity. In addition, molecular dynamic calculations were performed to reach a better understanding of the nanofluid system at a molecular level. The isobaric specific heat and thermal conductivity values followed the same experimental tendency. An analysis of the radial distribution functions (RDFs) and spatial distribution functions (SDFs) shows that there is a first layer of base fluid molecules around the metal in which the oxygen atoms play an important role. This first layer encourages the directionality of the movement in the heart of the nanofluid, which leads to enhanced thermal properties. (C) 2017 Elsevier Ltd. All rights reserved.
",0
"BackgroundHigh levels of maltreatment are found in children who are identified because their parents visit the emergency department due to partner violence, substance abuse or suicide attempt. However, it is unknown if these children experience psychosocial problems. This study aims to assess their levels of post-traumatic stress, anxiety, depression, behavioural problems and health-related quality of life. MethodsA cross-sectional study was conducted in six hospitals. All consecutive families of which a parent visited the emergency department due to partner violence, substance abuse or suicide attempt between 1 July 2012 and 1 March 2014 with children aged 1.5-17years were approached for participation. Parents and children aged 8years and older filled out questionnaires measuring post-traumatic stress [13-item version of Children's Revised Impact of Event Scale (CRIES-13)], anxiety, depression (Revised Child Anxiety and Depression Scale), behavioural problems [Child Behavior Checklist (CBCL) and Youth Self-Report (YSR)] and health-related quality of life (PedsQL). Scores of participants were compared with reference data obtained in children in similar age ranges from representative Dutch community samples (CRIES-13, Revised Child Anxiety and Depression Scale, PedsQL and CBCL) and to a normed cutoff score (CRIES-13). ResultsOf 195 eligible families, 89 (46%) participated in the study. Participating children did not score different from community children, both on child-reported and parent-reported instruments. Standardized mean differences of total sum scores were 0 (CRIES-13 and CBCL 1.5-5), 0.1 (YSR), 0.2 (CBCL 6-18) and -0.3 (PedsQL) and not statistically different from community children. Thirty-five percent of the participating children scored above the cutoff score on the CRIES-13, indicating post-traumatic stress disorder, but this difference was not statistically significant from community children (mean difference 8%; 95% CI -4-22%). ConclusionsWe found no differences in psychosocial problems between children whose parents visited the emergency department due to partner violence, substance abuse or suicide attempt and children from community samples. Because 35% of the children scored in the range of post-traumatic stress disorder, we advise healthcare providers to pay attention to post-traumatic stress symptoms
",5
"Fiber optical gyro (FOG) is a kind of solid-state optical gyroscope with good environmental adaptability, which has been widely used in national defense, aviation, aerospace and other civilian areas. In some applications, FOG will experience environmental conditions such as vacuum, radiation, vibration and so on, and the scale-factor performance is concerned as an important accuracy indicator. However, the scale-factor performance of FOG under these environmental conditions is difficult to test using conventional methods, as the turntable can't work under these environmental conditions. According to the phenomenon that the physical effects of FOG produced by the sawtooth voltage signal under static conditions is consistent with the physical effects of FOG produced by a turntable in uniform rotation, a new method for the scale-factor performance test of FOG without turntable is proposed in this paper. In this method, the test system of the scale-factor performance is constituted by an external operational amplifier circuit and a FOG which the modulation signal and Y waveguied are disconnected. The external operational amplifier circuit is used to superimpose the externally generated sawtooth voltage signal and the modulation signal of FOG, and to exert the superimposed signal on the Y waveguide of the FOG. The test system can produce different equivalent angular velocities by changing the cycle of the sawtooth signal in the scale-factor performance test. In this paper, the system model of FOG superimposed with an externally generated sawtooth is analyzed, and a conclusion that the effect of the equivalent input angular velocity produced by the sawtooth voltage signal is consistent with the effect of input angular velocity produced by the turntable is obtained. The relationship between the equivalent angular velocity and the parameters such as sawtooth cycle and so on is presented, and the correction method for the equivalent angular velocity is also presented by analyzing the influence of each parameter error on the equivalent angular velocity. A comparative experiment of the method proposed in this paper and the method of turntable calibration was conducted, and the scale-factor performance test results of the same FOG using the two methods were consistent. Using the method proposed in this paper to test the scale-factor performance of FOG, the input angular velocity is the equivalent effect produced by a sawtooth voltage signal, and there is no need to use a turntable to produce mechanical rotation, so this method can be used to test the performance of FOG at the ambient conditions which turntable can not work.
",2
"Although open-mindedness is generally valued, people are not equally open-minded in all situations. Open-mindedness is viewed as socially desirable when individuals encounter viewpoints that are compatible with conventional social norms. However, open-mindedness is viewed in less desirable terms when individuals encounter viewpoints that undermine these norms. The perceived desirability of open-mindedness is also influenced by the individual's personal attitudinal convictions. Individuals inflate' the normative appropriateness of open-mindedness when it serves to reinforce their convictions, but devalue the normative appropriateness of open-mindedness when it serves to contradict these convictions. Conversely, normative prohibition of closed-mindedness is exaggerated when a closed-minded orientation threatens the individual's personal attitudinal convictions, but is minimized (or reversed) when a closed-minded orientation reinforces these convictions. Paradoxically, the perceived appropriateness of open-mindedness is engendered (at least in part) by the motivation to confirm one's prior attitudinal convictions. Evidence of this attitude justification effect is obtained in two experiments.
",3
"ObjectiveEstablish whether inflammatory biomarkersserum amyloid A (SAA), C-reactive protein (CRP), interleukin-6 (IL-6), and tumor necrosis factor- (TNF-)are related to key symptoms of depression, including anxiety and fatigue, in a cross-sectional, out-patient setting to identify biomarkers that reflect psychiatric symptomatology in a naturalistic, real-life population. MethodsWe measured SAA, CRP, IL-6, and TNF- in plasma samples from 89 adult psychiatric out-patients by multiplex, high-sensitivity electrochemiluminescent assays. Psychiatric symptoms were evaluated using the Hamilton Depression Rating Scale (HAMD-17), the Patient Health Questionnaire (PHQ-9), and the Center for Epidemiological Studies Depression Scale (CES-D). ResultsPlasma SAA was most robustly associated with depressive symptoms across diagnostic boundaries in this cohort of out-patients. Elevated SAA was significantly associated with higher total scores on the HAMD-17 scale and correlated with multiple scale items that rated symptoms of fatigue and depressed mood, but not with anxiety-related items. ConclusionsSAA might constitute a cross-diagnostic marker indicative of depressed mood and fatigue in a naturalistic patient setting. Because SAA activates Toll-like receptors 2 and 4, present on macrophages and glial cells, its association with depression severity could also implicate this inflammatory mediator in the pathogenesis of mood disorders.
",5
"Purpose of the Review In this review, we will discuss the basic fundamentals of how to perform molecular imaging to better understand the underlyingmechanisms contributing to cardiovascular disease. Report Findings Molecular imaging combines molecular biology with in vivo imaging. Molecular probes are used to target discrete biological processes such as cell death, inflammation, and angiogenesis. These probes emit signals that are detected by traditional imaging systems. Because the same disease processes can manifest in individuals in different ways, molecular imaging may emerge as an important strategy for delivering precision medicine. Summary Molecular imaging is a powerful tool that may help physicians provide more personalized care in the near future.
",7
"Peyronie's disease (PD) is a localized disorder of the connective tissue of the tunica albuginea (TA) whose etiology has not been elucidated. Although several studies have implicated genetic susceptibility and/or mechanical trauma as triggering events for PD, the underlying molecular mechanisms remain largely unknown. Aquaporin 1 (AQP1) is a water channel protein potentially implicated in connective tissue resistance to mechanical stress, acting primarily by increasing tension within the collagen network. Although it represents a potentially attractive molecular target in PD, to date no studies had ever addressed whether AQP1 is detectable and/or differentially expressed in the TA of these patients. Herein the present study, through immunohistochemical and biochemical approaches, we were able to detect AQP1 expression in the TA of control and PD affected patients. We demonstrated that AQP1-like immunoreactivity and expression are significantly increased in plaques of PD patients Vs controls, implying that AQP1 overexpression might be the consequence of a localized maladaptive response of the connective tissue to repeated mechanical trauma. In summary, these data support the idea that AQP1 might represent a potentially useful biomarker of mechanical injury in the TA and a promising target for the treatment of PD.
",7
"Rotavirus A (RVA) causes acute diarrhea in children as well as animals. As part of a crosssectional study of children less than 5 years of age hospitalized for acute diarrhea in Vietnam during a 15-month period (2007-2008), 322 (43.5%) of 741 fecal specimens contained RVA with 92% either G1P[8] or G3P[8]. This study was undertaken to further characterize strains that remained untypeable to complete the G and P genotypes of the 322 rotavirus-positive specimens. While 307 (95.3%) strains possessed the common human RVA genotypes: G1P[8] (45.0%), G2P[4] (2.8%), G3P[8] (46.9%), and G9P[8] (0.6%), sequencing of initially untypeable specimens revealed the presence of two unusual strains designated NT0073 and NT0082 possessing G9P[19] and G10P[14], respectively. The genotype constellation of NT0073 (G9-P[19]-I5-R1-C1-M1-A8-N1-T7-E1-H1) and the phylogenetic trees suggested its origin as a porcine RVA strain causing diarrhea in a 24-month-old girl whereas the genotype constellation of NT0082 (G10-P[14]-I2-R2-C2-M2-A3N2- T6-E2-H3) and the phylogenetic trees suggested its origin as an RVA strain of artiodactyl origin (such as cattle, sheep and goats) causing diarrhea in a 13-month-old boy. This study showed that RVA strains of animal host origin were not necessarily attenuated in humans. A hypothesis may be postulated that P[19] and P[14] VP4 spike proteins helped the virus to replicate in the human intestine but that efficient onward human-to-human spread after crossing the host species barrier may require the virus to obtain some additional features as there was no evidence of widespread transmission with the limited sampling performed over the study period. (C) 2016 Wiley Periodicals, Inc.
",9
